variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
gene-SPN23F_RS09030	9.87E-01	6.92E-01	8.69E-01	-6.69E-02	4.06E-01	9.54E-03	bad-chisq
gene-SPN23F_RS13440	5.67E-02	4.36E-02	5.52E-01	-1.26E-01	2.11E-01	3.45E-02	
gene-SPN23F_RS09040	5.47E-01	7.50E-01	9.91E-01	1.09E-03	9.62E-02	6.58E-04	
gene-SPN23F_RS09045	8.97E-01	2.91E-01	1.50E-01	1.86E-01	1.29E-01	8.34E-02	
gene-SPN23F_RS09050	9.80E-01	6.22E-04	8.13E-01	-7.47E-02	3.15E-01	1.37E-02	bad-chisq
gene-SPN23F_RS09075	3.67E-01	6.94E-05	1.81E-01	-1.75E-01	1.31E-01	7.74E-02	
gene-SPN23F_RS09080	7.13E-01	3.50E-01	3.07E-01	-1.47E-01	1.43E-01	5.91E-02	
gene-SPN23F_RS09085	1.43E-01	1.88E-04	4.55E-01	-1.04E-01	1.39E-01	4.33E-02	
gene-SPN23F_RS09090	5.77E-01	6.93E-01	2.70E-01	-1.20E-01	1.09E-01	6.40E-02	
gene-SPN23F_RS09095	4.00E-02	1.06E-02	1.88E-01	-3.03E-01	2.30E-01	7.62E-02	bad-chisq
gene-SPN23F_RS09100	1.37E-01	1.65E-01	1.46E-01	2.06E-01	1.41E-01	8.42E-02	
gene-SPN23F_RS09105	5.70E-01	5.06E-01	3.19E-01	-1.04E-01	1.04E-01	5.77E-02	
gene-SPN23F_RS09115	9.87E-01	8.46E-02	1.83E-01	-3.97E-01	2.98E-01	7.71E-02	bad-chisq
gene-SPN23F_RS09120	4.57E-01	3.24E-01	4.88E-01	5.99E-02	8.62E-02	4.02E-02	
gene-SPN23F_RS09125	7.67E-02	1.86E-01	8.80E-01	2.05E-02	1.36E-01	8.72E-03	
gene-SPN23F_RS09130	1.60E-01	1.40E-04	5.03E-01	-8.03E-02	1.20E-01	3.88E-02	
gene-SPN23F_RS09135	3.03E-01	2.05E-02	4.17E-01	-8.04E-02	9.89E-02	4.70E-02	
gene-SPN23F_RS09140	2.80E-01	5.25E-02	8.35E-01	-1.99E-02	9.53E-02	1.21E-02	
gene-SPN23F_RS09145	3.57E-01	1.85E-03	7.34E-01	-2.82E-02	8.28E-02	1.97E-02	
gene-SPN23F_RS09150	1.37E-01	4.77E-06	6.00E-01	5.63E-02	1.07E-01	3.04E-02	
gene-SPN23F_RS09160	7.33E-02	9.59E-03	9.92E-01	-2.94E-03	2.97E-01	5.75E-04	
gene-SPN23F_RS09165	1.00E-02	2.08E-01	5.65E-01	-1.91E-01	3.32E-01	3.34E-02	bad-chisq
gene-SPN23F_RS09170	4.57E-01	1.41E-01	3.17E-01	8.62E-02	8.60E-02	5.80E-02	
gene-SPN23F_RS12575	3.20E-01	1.85E-02	8.53E-01	2.59E-02	1.39E-01	1.08E-02	
gene-SPN23F_RS09180	4.80E-01	3.95E-04	2.38E-01	1.07E-01	9.02E-02	6.83E-02	
gene-SPN23F_RS09185	5.27E-01	9.52E-01	1.90E-01	-1.35E-01	1.03E-01	7.59E-02	
gene-SPN23F_RS09195	3.70E-01	6.34E-01	4.47E-01	-1.01E-01	1.32E-01	4.41E-02	
gene-SPN23F_RS09200	7.90E-01	6.83E-01	7.23E-02	1.80E-01	9.98E-02	1.04E-01	
gene-SPN23F_RS09210	6.23E-01	1.92E-01	6.84E-01	3.01E-02	7.39E-02	2.36E-02	
gene-SPN23F_RS09215	6.43E-01	6.76E-08	8.04E-01	-1.82E-02	7.35E-02	1.44E-02	
gene-SPN23F_RS09220	2.37E-01	1.86E-01	2.29E-01	-1.22E-01	1.01E-01	6.97E-02	
gene-SPN23F_RS09225	6.57E-01	2.35E-01	3.35E-01	-1.04E-01	1.07E-01	5.58E-02	
gene-SPN23F_RS09230	8.27E-01	1.40E-04	1.11E-01	2.24E-01	1.40E-01	9.22E-02	
gene-SPN23F_RS09235	2.30E-01	2.13E-01	2.54E-02	2.79E-01	1.24E-01	1.29E-01	
gene-SPN23F_RS09240	2.37E-01	4.97E-01	2.74E-01	7.28E-02	6.64E-02	6.33E-02	
gene-SPN23F_RS09245	9.07E-01	2.43E-02	1.06E-01	-2.32E-01	1.43E-01	9.36E-02	
gene-SPN23F_RS09250	4.13E-01	1.43E-05	3.85E-01	-8.18E-02	9.40E-02	5.03E-02	
gene-SPN23F_RS09255	9.13E-01	6.89E-01	7.36E-01	3.57E-02	1.06E-01	1.96E-02	
gene-SPN23F_RS09260	5.30E-01	2.19E-02	8.06E-01	-2.49E-02	1.02E-01	1.42E-02	
gene-SPN23F_RS09265	2.87E-01	8.18E-02	9.83E-01	2.55E-03	1.21E-01	1.22E-03	
gene-SPN23F_RS09270	6.90E-01	1.51E-03	3.67E-01	-8.78E-02	9.71E-02	5.23E-02	
gene-SPN23F_RS09275	9.73E-01	1.87E-01	6.93E-01	8.32E-02	2.11E-01	2.29E-02	bad-chisq
gene-SPN23F_RS13645	1.33E-01	5.35E-01	6.02E-01	-7.07E-02	1.35E-01	3.03E-02	
gene-SPN23F_RS09285	7.67E-02	1.97E-02	7.80E-01	5.28E-02	1.89E-01	1.62E-02	
gene-SPN23F_RS09290	3.90E-01	7.94E-05	4.92E-01	5.24E-02	7.61E-02	3.99E-02	
gene-SPN23F_RS09295	7.00E-02	7.09E-02	7.07E-01	5.41E-02	1.44E-01	2.18E-02	
gene-SPN23F_RS09300	8.00E-02	9.83E-03	1.95E-01	1.96E-01	1.51E-01	7.51E-02	
gene-SPN23F_RS09305	3.07E-01	1.50E-05	1.99E-01	1.28E-01	9.97E-02	7.43E-02	
gene-SPN23F_RS09310	4.87E-01	1.13E-04	5.29E-01	-4.22E-02	6.71E-02	3.65E-02	
gene-SPN23F_RS09315	3.33E-01	2.29E-01	4.32E-01	-5.89E-02	7.48E-02	4.56E-02	
gene-SPN23F_RS09320	5.90E-01	4.25E-01	4.69E-01	-6.50E-02	8.96E-02	4.19E-02	
gene-SPN23F_RS09325	4.83E-01	1.87E-03	1.39E-01	-8.76E-02	5.91E-02	8.55E-02	
gene-SPN23F_RS09330	4.83E-01	8.70E-03	3.57E-01	-5.82E-02	6.32E-02	5.33E-02	
gene-SPN23F_RS13975	4.67E-01	3.22E-01	5.83E-01	-3.26E-02	5.92E-02	3.18E-02	
gene-SPN23F_RS09340	4.70E-01	4.54E-10	9.44E-01	8.78E-03	1.26E-01	4.05E-03	
gene-SPN23F_RS09345	6.67E-01	7.69E-03	4.13E-01	7.99E-02	9.75E-02	4.74E-02	
gene-SPN23F_RS09350	6.20E-01	1.24E-01	2.69E-01	9.82E-02	8.87E-02	6.40E-02	
gene-SPN23F_RS09360	4.90E-01	6.57E-06	1.49E-01	1.28E-01	8.81E-02	8.36E-02	
gene-SPN23F_RS09365	5.17E-01	1.16E-07	1.43E-01	1.43E-01	9.75E-02	8.48E-02	
gene-SPN23F_RS09370	7.40E-01	3.29E-06	6.35E-01	4.00E-02	8.41E-02	2.75E-02	
gene-SPN23F_RS09375	9.07E-01	5.38E-02	7.35E-01	-5.69E-02	1.68E-01	1.96E-02	
gene-SPN23F_RS09395	6.17E-01	7.11E-01	4.50E-01	-6.03E-02	7.97E-02	4.38E-02	
gene-SPN23F_RS09400	4.83E-01	2.95E-03	9.50E-01	-4.72E-03	7.57E-02	3.61E-03	
gene-SPN23F_RS09405	1.67E-01	1.30E-06	6.89E-01	8.12E-02	2.02E-01	2.32E-02	
gene-SPN23F_RS09410	7.67E-01	2.20E-02	5.50E-01	-6.04E-02	1.01E-01	3.46E-02	
gene-SPN23F_RS09425	1.27E-01	2.40E-04	3.88E-01	-1.08E-01	1.25E-01	5.00E-02	
gene-SPN23F_RS09430	8.90E-01	2.76E-02	3.17E-01	-1.59E-01	1.59E-01	5.80E-02	
gene-SPN23F_RS09435	6.07E-01	9.04E-01	9.47E-01	6.65E-03	1.00E-01	3.84E-03	
gene-SPN23F_RS09440	5.93E-01	5.09E-02	4.60E-01	-8.94E-02	1.21E-01	4.28E-02	
gene-SPN23F_RS09445	4.50E-01	1.10E-03	5.51E-01	4.88E-02	8.17E-02	3.46E-02	
gene-SPN23F_RS09450	1.37E-01	1.22E-02	4.67E-01	1.02E-01	1.40E-01	4.22E-02	
gene-SPN23F_RS09455	5.80E-01	6.84E-06	4.76E-01	5.63E-02	7.89E-02	4.13E-02	
gene-SPN23F_RS09460	6.93E-01	1.20E-04	7.25E-01	2.64E-02	7.49E-02	2.04E-02	
gene-SPN23F_RS09465	2.10E-01	4.47E-06	9.36E-01	-1.01E-02	1.25E-01	4.69E-03	
