variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
gene-SPN23F_RS00005	2.70E-01	2.51E-01	4.85E-01	-5.50E-02	7.86E-02	4.05E-02	
gene-SPN23F_RS00010	2.70E-01	3.24E-02	2.67E-01	1.14E-01	1.03E-01	6.43E-02	
gene-SPN23F_RS00015	1.13E-01	5.21E-01	7.59E-01	-4.76E-02	1.55E-01	1.78E-02	
gene-SPN23F_RS00020	2.97E-01	1.19E-02	4.09E-01	1.26E-01	1.52E-01	4.79E-02	
gene-SPN23F_RS00025	7.13E-01	6.81E-01	9.67E-01	5.84E-03	1.40E-01	2.41E-03	
gene-SPN23F_RS00030	5.93E-01	7.83E-02	9.72E-01	-5.17E-03	1.45E-01	2.07E-03	
gene-SPN23F_RS00035	2.00E-02	3.57E-01	9.84E-01	1.36E-02	6.71E-01	1.17E-03	bad-chisq
gene-SPN23F_RS00040	6.00E-02	1.03E-01	9.97E-01	8.87E-04	2.43E-01	2.11E-04	
gene-SPN23F_RS14045	2.80E-01	1.31E-02	8.16E-01	3.78E-02	1.63E-01	1.35E-02	
gene-SPN23F_RS00050	3.93E-01	7.06E-01	7.35E-01	3.49E-02	1.03E-01	1.96E-02	
gene-SPN23F_RS00055	9.40E-01	3.23E-02	9.49E-01	-8.74E-03	1.35E-01	3.74E-03	
gene-SPN23F_RS00060	1.23E-01	5.86E-04	7.20E-01	1.03E-01	2.87E-01	2.08E-02	
gene-SPN23F_RS00065	5.67E-01	7.37E-01	9.95E-01	-7.38E-04	1.29E-01	3.31E-04	
gene-SPN23F_RS00140	4.00E-01	4.87E-01	3.41E-01	1.62E-01	1.70E-01	5.52E-02	
gene-SPN23F_RS00145	1.10E-01	3.65E-01	8.48E-01	-2.97E-02	1.54E-01	1.11E-02	
gene-SPN23F_RS00150	4.60E-01	7.18E-02	4.46E-01	-9.81E-02	1.29E-01	4.41E-02	
gene-SPN23F_RS13665	1.00E-02	9.71E-01	6.74E-01	-8.13E-02	1.93E-01	2.43E-02	bad-chisq
gene-SPN23F_RS13670	5.00E-02	3.02E-01	2.53E-01	9.89E-02	8.63E-02	6.63E-02	
gene-SPN23F_RS00170	1.13E-01	1.59E-01	6.75E-01	2.83E-02	6.75E-02	2.43E-02	
gene-SPN23F_RS00175	3.00E-02	1.36E-01	8.57E-01	-5.86E-02	3.24E-01	1.05E-02	bad-chisq
gene-SPN23F_RS00180	3.67E-02	7.24E-02	5.93E-01	-8.87E-02	1.66E-01	3.10E-02	bad-chisq
gene-SPN23F_RS00185	6.33E-02	8.12E-01	3.72E-01	6.61E-02	7.40E-02	5.17E-02	
gene-SPN23F_RS00195	7.00E-02	1.84E-01	5.95E-02	1.52E-01	8.01E-02	1.09E-01	
gene-SPN23F_RS11720	2.00E-02	3.57E-01	9.84E-01	1.36E-02	6.71E-01	1.17E-03	bad-chisq
gene-SPN23F_RS00205	4.00E-02	5.85E-01	5.02E-01	5.65E-02	8.40E-02	3.89E-02	
gene-SPN23F_RS13455	2.33E-02	7.45E-01	8.34E-01	-2.32E-02	1.11E-01	1.21E-02	bad-chisq
gene-SPN23F_RS00210	2.67E-01	1.33E-01	5.42E-01	-7.57E-02	1.24E-01	3.53E-02	
gene-SPN23F_RS00215	2.97E-01	8.30E-04	6.70E-01	-3.93E-02	9.22E-02	2.47E-02	
gene-SPN23F_RS00220	2.67E-01	4.98E-01	7.07E-01	4.93E-02	1.31E-01	2.18E-02	
gene-SPN23F_RS00225	3.40E-01	2.03E-03	2.05E-01	-1.55E-01	1.22E-01	7.34E-02	
gene-SPN23F_RS00240	2.23E-01	7.71E-01	4.74E-01	1.25E-01	1.74E-01	4.15E-02	
gene-SPN23F_RS00260	7.43E-01	9.03E-01	5.23E-01	8.22E-02	1.28E-01	3.70E-02	
gene-SPN23F_RS00265	2.87E-01	2.29E-01	9.22E-01	-1.42E-02	1.45E-01	5.65E-03	
gene-SPN23F_RS13680	4.13E-01	1.80E-01	7.56E-01	-2.50E-02	8.03E-02	1.80E-02	
gene-SPN23F_RS00275	8.53E-01	7.75E-10	3.17E-01	-1.72E-01	1.72E-01	5.79E-02	
gene-SPN23F_RS00280	7.17E-01	1.94E-01	5.44E-01	-7.35E-02	1.21E-01	3.51E-02	
gene-SPN23F_RS00285	5.87E-01	2.59E-01	5.98E-01	6.78E-02	1.29E-01	3.05E-02	
gene-SPN23F_RS00290	6.90E-01	7.78E-01	8.18E-01	-2.93E-02	1.27E-01	1.33E-02	
gene-SPN23F_RS00295	1.40E-01	4.35E-07	6.62E-02	-3.80E-01	2.06E-01	1.06E-01	bad-chisq
gene-SPN23F_RS00300	7.23E-01	2.22E-01	3.29E-01	9.20E-02	9.42E-02	5.65E-02	
gene-SPN23F_RS14050	2.33E-02	6.31E-01	9.45E-01	1.58E-02	2.28E-01	4.01E-03	bad-chisq
gene-SPN23F_RS00315	5.67E-01	6.11E-02	4.23E-01	7.46E-02	9.29E-02	4.65E-02	
gene-SPN23F_RS00320	8.70E-01	1.92E-01	8.92E-01	-1.73E-02	1.27E-01	7.88E-03	
gene-SPN23F_RS00325	5.43E-01	8.00E-01	3.95E-01	-9.47E-02	1.11E-01	4.93E-02	
gene-SPN23F_RS00330	9.40E-01	4.96E-07	1.66E-01	-3.21E-01	2.31E-01	8.02E-02	
gene-SPN23F_RS00335	6.73E-01	6.69E-01	3.11E-01	1.43E-01	1.41E-01	5.87E-02	
gene-SPN23F_RS00340	4.47E-01	3.24E-05	3.96E-01	9.62E-02	1.13E-01	4.92E-02	
gene-SPN23F_RS00345	4.77E-01	7.12E-04	3.52E-01	1.06E-01	1.13E-01	5.39E-02	
gene-SPN23F_RS00350	2.63E-01	1.57E-01	9.20E-01	9.65E-03	9.56E-02	5.84E-03	
gene-SPN23F_RS00355	6.60E-01	7.93E-01	7.09E-01	-3.62E-02	9.67E-02	2.17E-02	
gene-SPN23F_RS00360	8.20E-01	6.26E-01	1.83E-01	2.42E-01	1.81E-01	7.71E-02	
gene-SPN23F_RS13685	2.00E-02	3.57E-01	3.33E-01	-2.37E-01	2.45E-01	5.61E-02	bad-chisq
gene-SPN23F_RS00365	1.87E-01	4.59E-04	9.46E-02	-2.15E-01	1.28E-01	9.67E-02	
gene-SPN23F_RS00370	6.83E-01	9.20E-01	3.75E-01	5.73E-02	6.46E-02	5.13E-02	
gene-SPN23F_RS00380	2.93E-01	8.34E-01	1.14E-02	2.42E-01	9.51E-02	1.46E-01	
gene-SPN23F_RS00385	8.33E-01	9.57E-01	4.18E-01	1.76E-01	2.18E-01	4.69E-02	
gene-SPN23F_RS00390	2.60E-01	4.61E-03	8.86E-01	1.55E-02	1.08E-01	8.30E-03	
gene-SPN23F_RS00395	6.27E-01	1.03E-05	1.83E-01	-1.17E-01	8.75E-02	7.71E-02	
gene-SPN23F_RS00400	2.03E-01	1.27E-01	5.86E-01	7.98E-02	1.46E-01	3.16E-02	
gene-SPN23F_RS00405	1.83E-01	2.53E-02	5.61E-01	5.63E-02	9.66E-02	3.37E-02	
gene-SPN23F_RS00410	1.33E-01	9.34E-03	1.58E-01	-1.94E-01	1.37E-01	8.17E-02	
gene-SPN23F_RS00415	1.70E-01	3.57E-02	9.66E-01	5.38E-03	1.26E-01	2.47E-03	
gene-SPN23F_RS00420	5.57E-01	7.44E-01	7.18E-01	-3.66E-02	1.01E-01	2.09E-02	
gene-SPN23F_RS00425	4.27E-01	5.07E-02	5.13E-01	-5.60E-02	8.55E-02	3.79E-02	
gene-SPN23F_RS00430	7.50E-01	1.58E-03	4.95E-01	9.16E-02	1.34E-01	3.96E-02	
gene-SPN23F_RS00435	4.83E-01	6.64E-01	5.66E-01	4.25E-02	7.40E-02	3.33E-02	
gene-SPN23F_RS13355	5.23E-01	7.94E-03	7.89E-01	-2.48E-02	9.27E-02	1.55E-02	
gene-SPN23F_RS00445	3.63E-01	1.68E-03	7.37E-01	-2.96E-02	8.80E-02	1.95E-02	
gene-SPN23F_RS00450	7.90E-01	8.51E-01	7.96E-01	2.65E-02	1.02E-01	1.50E-02	
gene-SPN23F_RS13180	5.27E-01	1.26E-03	4.07E-01	-6.05E-02	7.28E-02	4.81E-02	
gene-SPN23F_RS00460	2.73E-01	1.60E-01	4.58E-01	-7.44E-02	1.00E-01	4.30E-02	
gene-SPN23F_RS00465	4.67E-02	2.82E-02	5.61E-01	-1.69E-01	2.91E-01	3.37E-02	bad-chisq
gene-SPN23F_RS13690	5.27E-01	7.61E-01	9.33E-01	-6.93E-03	8.18E-02	4.91E-03	
gene-SPN23F_RS00475	8.70E-01	5.13E-02	3.96E-01	1.15E-01	1.36E-01	4.92E-02	
gene-SPN23F_RS00480	7.50E-01	2.33E-01	8.36E-01	-3.55E-02	1.71E-01	1.20E-02	
gene-SPN23F_RS00490	4.33E-02	3.59E-01	5.61E-01	1.42E-01	2.44E-01	3.37E-02	
gene-SPN23F_RS00495	2.10E-01	6.27E-01	5.32E-01	-7.13E-02	1.14E-01	3.63E-02	
gene-SPN23F_RS00510	4.93E-01	4.75E-06	4.61E-01	7.37E-02	9.99E-02	4.27E-02	
gene-SPN23F_RS00515	5.30E-01	3.72E-08	6.23E-01	-6.78E-02	1.38E-01	2.85E-02	
gene-SPN23F_RS00520	6.67E-02	4.24E-03	2.43E-01	-2.51E-01	2.14E-01	6.76E-02	bad-chisq
gene-SPN23F_RS00525	3.33E-02	3.32E-01	8.80E-01	5.28E-02	3.48E-01	8.79E-03	
gene-SPN23F_RS00530	1.77E-01	2.42E-07	7.69E-02	-2.11E-01	1.19E-01	1.02E-01	
gene-SPN23F_RS00535	6.33E-02	7.86E-02	7.46E-01	-7.26E-02	2.24E-01	1.88E-02	
gene-SPN23F_RS00540	6.97E-01	3.20E-01	3.35E-01	-1.01E-01	1.04E-01	5.59E-02	
gene-SPN23F_RS00545	6.53E-01	2.73E-01	4.08E-01	-8.78E-02	1.06E-01	4.80E-02	
gene-SPN23F_RS00550	8.67E-01	1.23E-04	1.05E-01	2.25E-01	1.39E-01	9.38E-02	
gene-SPN23F_RS00555	5.97E-01	3.80E-01	3.44E-01	8.20E-02	8.64E-02	5.48E-02	
gene-SPN23F_RS00560	4.87E-01	1.13E-04	6.89E-01	4.20E-02	1.05E-01	2.32E-02	
gene-SPN23F_RS00570	8.33E-01	1.34E-03	7.81E-01	-3.78E-02	1.36E-01	1.61E-02	
gene-SPN23F_RS00575	4.37E-01	6.20E-01	1.99E-01	-9.74E-02	7.57E-02	7.44E-02	
gene-SPN23F_RS13190	6.43E-01	4.07E-01	4.68E-01	6.41E-02	8.83E-02	4.20E-02	
gene-SPN23F_RS00590	4.23E-01	1.40E-06	6.16E-01	-3.74E-02	7.46E-02	2.90E-02	
gene-SPN23F_RS00595	5.53E-01	8.06E-01	7.42E-01	-3.05E-02	9.27E-02	1.91E-02	
gene-SPN23F_RS00600	6.33E-02	7.86E-02	8.78E-01	-2.80E-02	1.83E-01	8.86E-03	
gene-SPN23F_RS00605	3.30E-01	9.08E-07	2.95E-01	-8.70E-02	8.29E-02	6.07E-02	
gene-SPN23F_RS13360	2.77E-01	4.97E-07	6.66E-01	-3.75E-02	8.68E-02	2.50E-02	
gene-SPN23F_RS00670	5.10E-01	6.92E-02	9.08E-01	8.77E-03	7.58E-02	6.70E-03	
gene-SPN23F_RS00675	8.57E-01	4.26E-03	2.22E-01	-1.66E-01	1.36E-01	7.08E-02	
gene-SPN23F_RS13700	8.67E-01	1.23E-04	6.06E-01	7.14E-02	1.38E-01	2.99E-02	
gene-SPN23F_RS00685	8.17E-01	2.53E-02	1.36E-01	1.57E-01	1.05E-01	8.63E-02	
gene-SPN23F_RS00690	6.83E-01	7.18E-01	1.72E-01	-1.52E-01	1.11E-01	7.90E-02	
gene-SPN23F_RS00695	5.90E-01	5.81E-01	5.70E-01	-4.95E-02	8.70E-02	3.30E-02	
gene-SPN23F_RS00705	2.90E-01	1.18E-06	6.93E-01	-3.97E-02	1.01E-01	2.29E-02	
gene-SPN23F_RS00710	3.10E-01	3.39E-02	9.91E-02	1.59E-01	9.62E-02	9.54E-02	
gene-SPN23F_RS00715	1.50E-01	6.35E-02	6.37E-01	6.03E-02	1.27E-01	2.74E-02	
gene-SPN23F_RS00720	2.07E-01	1.35E-04	3.07E-01	1.18E-01	1.15E-01	5.92E-02	
gene-SPN23F_RS00730	6.37E-01	1.04E-01	1.66E-01	1.24E-01	8.96E-02	8.01E-02	
gene-SPN23F_RS00735	7.70E-01	1.75E-01	4.94E-01	1.25E-01	1.83E-01	3.96E-02	
gene-SPN23F_RS13725	2.23E-01	3.81E-01	6.02E-01	-5.62E-02	1.07E-01	3.03E-02	
gene-SPN23F_RS13730	6.07E-01	4.25E-03	2.87E-01	-1.05E-01	9.85E-02	6.17E-02	
gene-SPN23F_RS00770	4.30E-01	3.62E-01	3.90E-01	-7.37E-02	8.57E-02	4.98E-02	
gene-SPN23F_RS00775	3.33E-01	2.64E-01	8.03E-01	2.04E-02	8.16E-02	1.45E-02	
gene-SPN23F_RS00785	3.73E-01	9.09E-01	5.17E-01	5.98E-02	9.23E-02	3.76E-02	
gene-SPN23F_RS00790	5.77E-01	2.79E-01	1.86E-01	1.33E-01	1.00E-01	7.66E-02	
gene-SPN23F_RS00795	5.67E-01	6.11E-02	4.56E-01	7.57E-02	1.01E-01	4.32E-02	
gene-SPN23F_RS00800	7.73E-01	2.89E-01	5.57E-01	1.58E-01	2.69E-01	3.40E-02	
gene-SPN23F_RS00805	3.67E-01	1.98E-02	8.45E-01	-2.27E-02	1.16E-01	1.13E-02	
gene-SPN23F_RS00810	7.07E-01	7.46E-01	4.94E-01	7.39E-02	1.08E-01	3.96E-02	
gene-SPN23F_RS00815	9.70E-01	5.17E-01	9.62E-01	1.19E-02	2.50E-01	2.76E-03	bad-chisq
gene-SPN23F_RS00825	7.50E-01	9.39E-03	7.66E-01	-5.63E-02	1.89E-01	1.72E-02	
gene-SPN23F_RS00835	2.33E-01	8.63E-02	8.71E-01	1.59E-02	9.77E-02	9.44E-03	
gene-SPN23F_RS00840	4.33E-01	1.67E-01	3.46E-01	1.04E-01	1.10E-01	5.46E-02	
gene-SPN23F_RS00845	6.43E-01	9.47E-01	8.69E-01	1.54E-02	9.34E-02	9.57E-03	
gene-SPN23F_RS00850	5.93E-01	9.78E-01	5.15E-01	7.03E-02	1.08E-01	3.78E-02	
gene-SPN23F_RS00855	4.50E-01	7.29E-06	3.62E-01	-1.18E-01	1.29E-01	5.29E-02	
gene-SPN23F_RS00860	6.70E-01	6.03E-01	7.73E-01	-3.25E-02	1.12E-01	1.67E-02	
gene-SPN23F_RS00865	4.60E-01	1.89E-01	8.15E-01	-1.89E-02	8.05E-02	1.36E-02	
gene-SPN23F_RS00870	7.60E-01	4.39E-01	7.71E-01	4.02E-02	1.38E-01	1.69E-02	
gene-SPN23F_RS00875	5.40E-01	2.85E-01	7.78E-01	-2.72E-02	9.64E-02	1.63E-02	
gene-SPN23F_RS00880	4.00E-02	4.87E-01	6.30E-01	9.51E-02	1.97E-01	2.79E-02	
gene-SPN23F_RS00885	1.00E-01	3.17E-02	9.82E-01	-3.58E-03	1.61E-01	1.28E-03	
gene-SPN23F_RS00890	1.70E-01	3.51E-02	2.38E-01	-1.26E-01	1.07E-01	6.83E-02	
gene-SPN23F_RS00895	5.17E-01	3.57E-01	5.27E-01	-6.12E-02	9.67E-02	3.66E-02	
gene-SPN23F_RS00900	3.63E-01	5.54E-02	7.74E-01	2.66E-02	9.24E-02	1.67E-02	
gene-SPN23F_RS14060	4.00E-01	1.49E-03	8.99E-01	-1.30E-02	1.03E-01	7.34E-03	
gene-SPN23F_RS00905	3.20E-01	6.94E-07	5.29E-01	6.18E-02	9.81E-02	3.65E-02	
gene-SPN23F_RS00910	1.57E-01	2.24E-03	7.97E-01	-2.89E-02	1.12E-01	1.49E-02	
gene-SPN23F_RS00915	5.93E-01	2.78E-02	8.84E-01	-1.15E-02	7.90E-02	8.45E-03	
gene-SPN23F_RS00920	6.87E-01	4.75E-01	1.34E-01	-1.53E-01	1.02E-01	8.67E-02	
gene-SPN23F_RS00925	5.83E-01	2.34E-04	5.03E-02	2.01E-01	1.02E-01	1.13E-01	
gene-SPN23F_RS00930	5.60E-01	2.21E-05	4.54E-01	6.27E-02	8.37E-02	4.34E-02	
gene-SPN23F_RS00935	9.37E-01	2.39E-02	7.25E-01	5.82E-02	1.65E-01	2.04E-02	
gene-SPN23F_RS00940	7.50E-01	6.23E-01	7.46E-01	3.50E-02	1.08E-01	1.88E-02	
gene-SPN23F_RS00945	7.60E-01	8.67E-07	4.03E-01	8.56E-02	1.02E-01	4.85E-02	
gene-SPN23F_RS00950	2.57E-01	3.28E-03	8.61E-02	2.47E-01	1.43E-01	9.93E-02	
gene-SPN23F_RS00955	2.67E-02	5.73E-01	7.25E-01	1.31E-01	3.72E-01	2.04E-02	
gene-SPN23F_RS00960	6.53E-01	2.96E-06	1.27E-01	-1.83E-01	1.20E-01	8.82E-02	
gene-SPN23F_RS00965	4.67E-01	8.20E-01	4.78E-01	-5.93E-02	8.34E-02	4.11E-02	
gene-SPN23F_RS00975	4.73E-01	4.29E-01	4.23E-01	8.56E-02	1.07E-01	4.65E-02	
gene-SPN23F_RS00985	8.00E-02	2.16E-01	9.35E-01	-1.48E-02	1.81E-01	4.76E-03	
gene-SPN23F_RS00995	8.37E-01	1.70E-01	4.41E-01	8.70E-02	1.13E-01	4.47E-02	
gene-SPN23F_RS01000	1.50E-01	2.40E-01	7.72E-01	3.99E-02	1.38E-01	1.68E-02	
gene-SPN23F_RS01005	1.50E-01	6.21E-01	8.34E-01	3.40E-02	1.62E-01	1.22E-02	
gene-SPN23F_RS13460	2.67E-02	3.44E-01	8.00E-01	-1.12E-01	4.42E-01	1.47E-02	bad-chisq
gene-SPN23F_RS01015	5.77E-01	3.75E-01	7.47E-01	3.47E-02	1.07E-01	1.87E-02	
gene-SPN23F_RS01020	5.60E-01	8.68E-01	4.67E-01	7.35E-02	1.01E-01	4.22E-02	
gene-SPN23F_RS13465	1.43E-01	7.06E-03	8.49E-01	-2.58E-02	1.35E-01	1.11E-02	
gene-SPN23F_RS01030	6.37E-01	7.50E-03	5.89E-01	6.53E-02	1.21E-01	3.13E-02	
gene-SPN23F_RS01035	4.87E-01	8.32E-01	5.75E-01	5.14E-02	9.15E-02	3.25E-02	
gene-SPN23F_RS01040	3.37E-01	4.13E-07	2.57E-01	-1.43E-01	1.26E-01	6.56E-02	
gene-SPN23F_RS01045	1.33E-02	5.36E-03	7.26E-01	1.06E-01	3.02E-01	2.03E-02	bad-chisq
gene-SPN23F_RS01050	2.00E-02	3.57E-01	7.45E-01	6.81E-02	2.09E-01	1.88E-02	bad-chisq
gene-SPN23F_RS01055	4.67E-02	2.82E-02	7.21E-01	-1.27E-01	3.55E-01	2.07E-02	bad-chisq
gene-SPN23F_RS01060	2.33E-02	5.29E-02	8.57E-01	-5.94E-02	3.30E-01	1.04E-02	bad-chisq
gene-SPN23F_RS01075	2.33E-02	3.77E-03	8.94E-02	7.68E-01	4.50E-01	9.83E-02	bad-chisq
gene-SPN23F_RS01105	1.33E-02	5.06E-01	6.68E-01	1.05E-01	2.45E-01	2.48E-02	bad-chisq
gene-SPN23F_RS01110	1.00E-01	1.97E-10	1.68E-01	2.89E-01	2.09E-01	7.98E-02	
gene-SPN23F_RS01120	3.00E-02	5.17E-01	6.99E-01	-1.29E-01	3.32E-01	2.24E-02	bad-chisq
gene-SPN23F_RS01125	4.20E-01	1.64E-02	9.38E-01	9.33E-03	1.20E-01	4.52E-03	
gene-SPN23F_RS01135	1.33E-02	5.36E-03	1.35E-01	2.56E-01	1.71E-01	8.65E-02	bad-chisq
gene-SPN23F_RS01140	1.30E-01	6.86E-04	9.60E-01	1.03E-02	2.05E-01	2.90E-03	
gene-SPN23F_RS01150	2.67E-02	5.73E-01	9.93E-01	-1.91E-03	2.33E-01	4.74E-04	
gene-SPN23F_RS01155	3.53E-01	1.62E-03	9.68E-01	3.66E-03	9.04E-02	2.34E-03	
gene-SPN23F_RS01170	1.33E-02	6.92E-01	7.03E-01	1.70E-01	4.44E-01	2.21E-02	bad-chisq
gene-SPN23F_RS01180	3.00E-02	1.36E-01	5.95E-01	-2.00E-01	3.74E-01	3.09E-02	bad-chisq
gene-SPN23F_RS01185	2.33E-02	3.77E-03	8.94E-02	7.68E-01	4.50E-01	9.83E-02	bad-chisq
gene-SPN23F_RS01190	1.97E-01	8.20E-01	6.96E-01	-5.50E-02	1.41E-01	2.26E-02	
gene-SPN23F_RS01195	5.80E-01	5.00E-01	6.43E-01	4.23E-02	9.11E-02	2.69E-02	
gene-SPN23F_RS01200	1.60E-01	2.48E-01	6.02E-01	-3.83E-02	7.33E-02	3.02E-02	
gene-SPN23F_RS01235	5.13E-01	3.18E-03	9.82E-01	2.01E-03	8.72E-02	1.34E-03	
gene-SPN23F_RS01240	4.87E-01	1.41E-03	8.09E-01	-2.11E-02	8.74E-02	1.40E-02	
gene-SPN23F_RS01245	3.13E-01	5.95E-06	7.51E-01	-4.05E-02	1.28E-01	1.84E-02	
gene-SPN23F_RS01250	9.33E-02	5.00E-01	2.17E-01	-2.15E-01	1.74E-01	7.14E-02	
gene-SPN23F_RS01255	3.43E-01	4.94E-07	6.70E-02	1.86E-01	1.01E-01	1.06E-01	
gene-SPN23F_RS01260	9.13E-01	8.97E-02	6.52E-01	6.31E-02	1.40E-01	2.61E-02	
gene-SPN23F_RS01265	5.80E-01	1.95E-01	4.72E-01	-6.98E-02	9.70E-02	4.16E-02	
gene-SPN23F_RS01270	2.80E-01	6.18E-01	2.85E-01	1.10E-01	1.03E-01	6.19E-02	
gene-SPN23F_RS01275	4.17E-01	2.79E-02	3.05E-01	-1.08E-01	1.05E-01	5.94E-02	
gene-SPN23F_RS01280	9.37E-01	2.39E-02	9.39E-02	2.62E-01	1.56E-01	9.69E-02	
gene-SPN23F_RS01285	9.77E-01	7.45E-01	4.05E-01	1.80E-01	2.16E-01	4.82E-02	bad-chisq
gene-SPN23F_RS01290	7.17E-01	2.55E-03	9.27E-01	-1.00E-02	1.10E-01	5.30E-03	
gene-SPN23F_RS01295	1.90E-01	1.23E-03	9.03E-01	1.20E-02	9.79E-02	7.10E-03	
gene-SPN23F_RS01300	6.87E-01	7.08E-03	8.98E-01	-1.33E-02	1.03E-01	7.45E-03	
gene-SPN23F_RS01305	8.93E-01	5.92E-03	4.16E-01	8.87E-02	1.09E-01	4.71E-02	
gene-SPN23F_RS01310	2.33E-01	3.92E-03	4.91E-01	1.05E-01	1.53E-01	3.99E-02	
gene-SPN23F_RS01315	2.47E-01	6.81E-03	6.37E-01	-3.66E-02	7.76E-02	2.73E-02	
gene-SPN23F_RS01320	3.60E-01	7.84E-01	4.27E-02	-1.79E-01	8.77E-02	1.17E-01	
gene-SPN23F_RS01325	3.47E-01	2.96E-06	3.80E-02	2.31E-01	1.11E-01	1.20E-01	
gene-SPN23F_RS01330	6.77E-01	7.40E-03	2.45E-01	1.04E-01	8.96E-02	6.73E-02	
gene-SPN23F_RS01335	7.93E-01	2.25E-04	1.63E-01	1.52E-01	1.09E-01	8.08E-02	
gene-SPN23F_RS01340	7.23E-01	6.83E-01	8.59E-01	1.76E-02	9.90E-02	1.03E-02	
gene-SPN23F_RS01345	8.80E-01	1.03E-01	5.04E-01	-8.94E-02	1.34E-01	3.87E-02	
gene-SPN23F_RS01355	7.00E-02	3.08E-03	7.49E-01	-6.55E-02	2.05E-01	1.85E-02	bad-chisq
gene-SPN23F_RS01360	4.77E-01	3.23E-03	1.52E-01	-1.21E-01	8.43E-02	8.28E-02	
gene-SPN23F_RS01365	8.87E-01	1.59E-01	5.57E-01	-6.92E-02	1.18E-01	3.40E-02	
gene-SPN23F_RS01375	1.43E-01	1.89E-02	8.08E-01	-2.27E-02	9.31E-02	1.41E-02	
gene-SPN23F_RS13470	1.43E-01	3.38E-01	5.17E-01	-6.75E-02	1.04E-01	3.75E-02	
gene-SPN23F_RS01390	5.63E-01	6.28E-01	9.12E-01	9.93E-03	8.95E-02	6.42E-03	
gene-SPN23F_RS13740	3.67E-02	2.50E-01	8.74E-01	-4.54E-02	2.85E-01	9.22E-03	
gene-SPN23F_RS01400	6.33E-01	3.30E-07	3.73E-01	-7.30E-02	8.18E-02	5.16E-02	
gene-SPN23F_RS01410	5.30E-01	5.57E-01	8.65E-01	1.44E-02	8.46E-02	9.88E-03	
gene-SPN23F_RS01420	7.67E-02	1.17E-03	1.10E-01	2.08E-01	1.30E-01	9.24E-02	
gene-SPN23F_RS01425	1.37E-01	4.25E-03	1.16E-01	-1.43E-01	9.09E-02	9.08E-02	
gene-SPN23F_RS01430	5.70E-01	7.34E-02	8.35E-01	1.67E-02	7.99E-02	1.21E-02	
gene-SPN23F_RS01435	6.47E-01	6.97E-03	8.01E-01	-1.95E-02	7.72E-02	1.46E-02	
gene-SPN23F_RS01440	6.17E-01	3.32E-02	4.30E-01	-6.87E-02	8.69E-02	4.57E-02	
gene-SPN23F_RS01445	7.67E-01	7.81E-01	2.38E-01	1.14E-01	9.65E-02	6.84E-02	
gene-SPN23F_RS01450	7.07E-01	1.89E-02	7.43E-01	2.84E-02	8.66E-02	1.90E-02	
gene-SPN23F_RS01455	9.80E-01	9.58E-01	7.77E-01	4.81E-02	1.69E-01	1.64E-02	bad-chisq
gene-SPN23F_RS01460	2.27E-01	2.07E-01	7.96E-01	-2.46E-02	9.50E-02	1.50E-02	
gene-SPN23F_RS01465	2.20E-01	6.27E-02	7.44E-02	1.62E-01	9.03E-02	1.03E-01	
gene-SPN23F_RS01470	3.00E-02	2.76E-02	4.89E-01	-1.23E-01	1.77E-01	4.01E-02	bad-chisq
gene-SPN23F_RS01475	1.00E-01	3.09E-03	9.09E-01	-1.53E-02	1.33E-01	6.65E-03	
gene-SPN23F_RS01480	4.00E-02	9.41E-01	7.14E-01	6.80E-02	1.85E-01	2.13E-02	
gene-SPN23F_RS01485	2.97E-01	5.44E-03	7.74E-01	2.08E-02	7.22E-02	1.67E-02	
gene-SPN23F_RS13475	5.33E-02	2.95E-03	6.51E-01	-7.53E-02	1.66E-01	2.62E-02	bad-chisq
gene-SPN23F_RS01495	8.83E-01	2.53E-01	9.88E-01	1.92E-03	1.27E-01	8.78E-04	
gene-SPN23F_RS01500	6.10E-01	2.23E-02	1.35E-01	-1.24E-01	8.27E-02	8.66E-02	
gene-SPN23F_RS01505	8.83E-01	1.56E-04	1.08E-01	-1.68E-01	1.04E-01	9.30E-02	
gene-SPN23F_RS01515	8.90E-01	1.96E-01	1.46E-01	-1.53E-01	1.05E-01	8.41E-02	
gene-SPN23F_RS01520	4.67E-01	3.22E-01	7.98E-01	1.82E-02	7.07E-02	1.49E-02	
gene-SPN23F_RS01525	5.67E-01	2.03E-05	8.75E-02	-1.06E-01	6.19E-02	9.88E-02	
gene-SPN23F_RS01530	6.03E-01	1.43E-02	4.56E-01	5.67E-02	7.60E-02	4.32E-02	
gene-SPN23F_RS01535	2.80E-01	2.60E-01	3.44E-02	-1.89E-01	8.90E-02	1.22E-01	
gene-SPN23F_RS01540	5.07E-01	1.70E-02	6.39E-01	-3.46E-02	7.38E-02	2.72E-02	
gene-SPN23F_RS01545	2.13E-01	5.47E-01	4.51E-01	-5.46E-02	7.24E-02	4.37E-02	
gene-SPN23F_RS01550	1.20E-01	8.25E-02	9.12E-01	-1.11E-02	1.00E-01	6.42E-03	
gene-SPN23F_RS01555	5.07E-01	7.73E-01	6.47E-02	-1.37E-01	7.39E-02	1.07E-01	
gene-SPN23F_RS01560	3.13E-01	9.43E-01	4.30E-01	-6.46E-02	8.18E-02	4.57E-02	
