GeneID	Annotation
gene-SPN23F_RS01340	SPN23F_RS01340
cds-WP_000229772.1	WP_000229772.1
gene-SPN23F_RS01345	spuA
cds-WP_001232813.1	WP_001232813.1
gene-SPN23F_RS01350	rpsL
cds-WP_001142334.1	WP_001142334.1
gene-SPN23F_RS01355	rpsG
cds-WP_000087873.1	WP_000087873.1
gene-SPN23F_RS01360	fusA
cds-WP_000090357.1	WP_000090357.1
gene-SPN23F_RS01365	SPN23F_RS01365
cds-WP_000071374.1	WP_000071374.1
gene-SPN23F_RS01370	SPN23F_RS01370
cds-WP_000436644.1-2	WP_000436644.1
gene-SPN23F_RS01375	SPN23F_RS01375
cds-WP_000047864.1	WP_000047864.1
cds-SPN23F_RS01380	
gene-SPN23F_RS13470	SPN23F_RS13470
cds-WP_000776626.1	WP_000776626.1
gene-SPN23F_RS01390	SPN23F_RS01390
cds-WP_000243914.1	WP_000243914.1
gene-SPN23F_RS01395	SPN23F_RS01395
cds-WP_000901569.1	WP_000901569.1
gene-SPN23F_RS13740	SPN23F_RS13740
cds-WP_001815638.1	WP_001815638.1
gene-SPN23F_RS01400	SPN23F_RS01400
cds-WP_001815639.1	WP_001815639.1
gene-SPN23F_RS01410	pepC
cds-WP_000991679.1	WP_000991679.1
gene-SPN23F_RS01415	SPN23F_RS01415
cds-WP_000136861.1	WP_000136861.1
gene-SPN23F_RS01420	SPN23F_RS01420
cds-WP_000022715.1	WP_000022715.1
gene-SPN23F_RS01425	SPN23F_RS01425
cds-WP_000021975.1	WP_000021975.1
gene-SPN23F_RS01430	adhP
cds-WP_000649170.1	WP_000649170.1
gene-SPN23F_RS01435	SPN23F_RS01435
cds-WP_000162352.1	WP_000162352.1
gene-SPN23F_RS01440	SPN23F_RS01440
cds-WP_000359298.1	WP_000359298.1
gene-SPN23F_RS01445	SPN23F_RS01445
cds-WP_000660466.1	WP_000660466.1
gene-SPN23F_RS01450	folP
cds-WP_000240956.1	WP_000240956.1
gene-SPN23F_RS01455	SPN23F_RS01455
cds-WP_000659086.1	WP_000659086.1
gene-SPN23F_RS01460	folE
cds-WP_000380917.1	WP_000380917.1
gene-SPN23F_RS01465	folK
cds-WP_000372516.1	WP_000372516.1
gene-SPN23F_RS01470	SPN23F_RS01470
cds-WP_000886031.1	WP_000886031.1
gene-SPN23F_RS01475	rplM
cds-WP_001044624.1	WP_001044624.1
gene-SPN23F_RS01480	rpsI
cds-WP_000075966.1	WP_000075966.1
gene-SPN23F_RS01485	SPN23F_RS01485
cds-WP_001211068.1	WP_001211068.1
gene-SPN23F_RS13475	SPN23F_RS13475
cds-WP_000050748.1	WP_000050748.1
gene-SPN23F_RS01495	SPN23F_RS01495
cds-WP_000688748.1	WP_000688748.1
gene-SPN23F_RS01500	SPN23F_RS01500
cds-WP_000203063.1	WP_000203063.1
gene-SPN23F_RS01505	SPN23F_RS01505
cds-WP_001193713.1	WP_001193713.1
cds-SPN23F_RS01510	
gene-SPN23F_RS01515	SPN23F_RS01515
cds-WP_000167295.1	WP_000167295.1
gene-SPN23F_RS01520	SPN23F_RS01520
cds-WP_000161480.1	WP_000161480.1
gene-SPN23F_RS01525	SPN23F_RS01525
cds-WP_000684786.1	WP_000684786.1
gene-SPN23F_RS01530	SPN23F_RS01530
cds-WP_000185874.1	WP_000185874.1
gene-SPN23F_RS01535	SPN23F_RS01535
cds-WP_000706826.1	WP_000706826.1
gene-SPN23F_RS01540	SPN23F_RS01540
cds-WP_000592943.1	WP_000592943.1
gene-SPN23F_RS01545	SPN23F_RS01545
cds-WP_000178622.1	WP_000178622.1
gene-SPN23F_RS01550	SPN23F_RS01550
cds-WP_000026610.1	WP_000026610.1
gene-SPN23F_RS01555	SPN23F_RS01555
cds-WP_000148012.1	WP_000148012.1
